buy_month	sell_month	pints_purchased	expected_profit
2026-01-01	2026-02-01	207874	-230492.52
2026-01-01	2026-03-01	203641	-332883.56
2026-01-01	2026-04-01	199577	-334419.69
2026-01-01	2026-05-01	195672	-391512.05
2026-01-01	2026-06-01	191916	-446110.43
2026-01-01	2026-07-01	188303	-461852.43
2026-01-01	2026-08-01	184822	-425859.24
2026-01-01	2026-09-01	181468	-409656.54
2026-01-01	2026-10-01	178234	-372196.57
2026-01-01	2026-11-01	175113	-303141.77
2026-01-01	2026-12-01	172099	-252043.61
2026-02-01	2026-03-01	226598	-257677.91
2026-02-01	2026-04-01	221577	-261049.26
2026-02-01	2026-05-01	216774	-325889.1
2026-02-01	2026-06-01	212175	-387645.59
2026-02-01	2026-07-01	207766	-406225.91
2026-02-01	2026-08-01	203537	-367721.91
2026-02-01	2026-09-01	199477	-351071.3
2026-02-01	2026-10-01	195576	-311111.88
2026-02-01	2026-11-01	191824	-236638.1
2026-02-01	2026-12-01	188214	-182007.99
2026-03-01	2026-04-01	253812	-153550.11
2026-03-01	2026-05-01	247529	-230249.53
2026-03-01	2026-06-01	241550	-302865.57
2026-03-01	2026-07-01	235853	-325958.79
2026-03-01	2026-08-01	230418	-284218.79
2026-03-01	2026-09-01	225229	-267300.01
2026-03-01	2026-10-01	220268	-224140.32
2026-03-01	2026-11-01	215520	-142341.1
2026-03-01	2026-12-01	210973	-83093.86
2026-04-01	2026-05-01	249657	-223634.23
2026-04-01	2026-06-01	243575	-297019.23
2026-04-01	2026-07-01	237784	-320441.5
2026-04-01	2026-08-01	232261	-278496.25
2026-04-01	2026-09-01	226989	-261574.39
2026-04-01	2026-10-01	221951	-218211.98
2026-04-01	2026-11-01	217131	-135930.09
2026-04-01	2026-12-01	212517	-76385.82
2026-05-01	2026-06-01	266293	-231455.35
2026-05-01	2026-07-01	259386	-258705.24
2026-05-01	2026-08-01	252828	-214606.85
2026-05-01	2026-09-01	246593	-197798.53
2026-05-01	2026-10-01	240659	-152316.3
2026-05-01	2026-11-01	235003	-64810.91
2026-05-01	2026-12-01	229607	-2110.89
2026-06-01	2026-07-01	285163	-185035.28
2026-06-01	2026-08-01	277257	-138718.74
2026-06-01	2026-09-01	269777	-122377.72
2026-06-01	2026-10-01	262690	-74712.55
2026-06-01	2026-11-01	255966	18611.91
2026-06-01	2026-12-01	249578	84683.43
2026-07-01	2026-08-01	287734	-106171.59
2026-07-01	2026-09-01	279687	-90140.92
2026-07-01	2026-10-01	272077	-41649.56
2026-07-01	2026-11-01	264871	54045.81
2026-07-01	2026-12-01	258036	121442.02
2026-08-01	2026-09-01	266553	-132865.69
2026-08-01	2026-10-01	259633	-85483.31
2026-08-01	2026-11-01	253062	7055.14
2026-08-01	2026-12-01	246816	72680.69
2026-09-01	2026-10-01	255454	-100200.99
2026-09-01	2026-11-01	249091	-8748.3
2026-09-01	2026-12-01	243037	56256.54
2026-10-01	2026-11-01	237320	-55591.13
2026-10-01	2026-12-01	231818	7498.99
2026-11-01	2026-12-01	211791	-79542.13
